id,question_group_id,name,sequence,optional
question_1,Work attitude,Degree of enthusiasm,1,0
question_2,Work attitude,Credit standing,2,0
question_3,Work attitude,The sense of responsibility,3,0
question_4,Work attitude,The sense of discipline,4,0
question_5,Work attitude,Teamwork spirit,5,0
question_6,Professional knowledge,Professional business knowledge,6,0
question_7,Professional knowledge,Relevant professional knowledge,7,0
question_8,Professional knowledge,Foreign knowledge,8,0
question_9,Professional knowledge,Computer knowledge,9,0
question_10,Professional knowledge,Gain new knowledge,10,0
question_11,Ability to work,Verbal ability,11,0
question_12,Ability to work,Logical thinking ability,12,0
question_13,Ability to work,Guidance and guidance ability,13,0
question_14,Ability to work,Interpersonal skills,14,0
question_15,Ability to work,"Ability to organize, manage and coordinate",15,0
question_16,Working achievement,Achievement of work objectives,16,0
question_17,Working achievement,The work efficiency,17,0
question_18,Working achievement,Quality of work,18,0
question_19,Working achievement,Work innovation efficiency,19,0
question_20,Working achievement,Job cost control,20,0
question_21,Comments & Recommendations,Comments & Recommendations,21,1
